Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-12-05,Tarjeta Naranja S.A.,Clase XXXVI Serie I,ARS,210571124,General,0.2525,18.2,210.5711,FINANCIERO
2016-12-05,Tarjeta Naranja S.A.,Clase XXXVI Serie II,ARS,636409210,General,0.2525,36.5,636.4092,FINANCIERO
2016-12-14,Banco de Inversión y Comercio Exterior S.A.,Clase 3,ARS,615000000,General,0.2331,18.2,615.0000,FINANCIERO
2016-12-14,Banco de Inversión y Comercio Exterior S.A.,Clase 4,ARS,540588234,General,0.2381,36.5,540.5882,FINANCIERO
2016-12-15,Banco CMF S.A.,Clase 9,ARS,250000000,General,0.2475,18.2,250.0000,FINANCIERO
2016-12-15,Serviaut S.A.,Clase 1,ARS,52150000,PyME,0.2613,18.2,52.1500,COMERCIO
2016-12-16,Medanito S.A.,Clase 10,USD,20000000,General,0.0987,36.5,319.0000,ENERGIA
2016-12-16,Caterpillar Financial Services Argentina S.A.,Clase 2,ARS,164375000,General,0.2344,24.3,164.3750,FINANCIERO
2016-12-19,Euro S.A. ,Clase II,USD,2016440,PyME,0.0900,37.5,32.0000,INDUSTRIA
2016-12-19,John Deere Credit Compañía Financiera S.A.,Clase IX,USD,30575000,General,0.0680,36.5,484.8000,FINANCIERO
2016-12-21,Sicom S.A.,Clase III,ARS,40000000,PyME,0.2675,36.1,40.0000,CONSTRUCCION_E_INFRAESTRUCTURA
2016-12-21,Banco Itaú Argentina S.A.,Clase 21,ARS,344919786,General,0.2350,36.5,344.9198,FINANCIERO
2016-12-21,Cordial Compañía Financiera S.A.,Clase 12,ARS,154214285,General,0.2490,12.2,154.2143,FINANCIERO
2016-12-21,Cordial Compañía Financiera S.A.,Clase 13,ARS,151428571,General,0.2525,18.2,151.4286,FINANCIERO
2016-12-22,Roch S.A.,Clase 3,USD,16000000,General,0.0988,36.5,252.4000,ENERGIA
2017-01-03,Cumar S.A.,Serie I,ARS,5000000,PyME,0.2713,24.3,5.0000,FINANCIERO
2017-01-12,Genneia S.A.,Clase XX,USD,350000000,General,0.0875,60.9,5537.3000,ENERGIA
2017-01-16,Banco de Servicios Financieros S.A.,Clase 18,ARS,500000000,General,0.2425,18.2,500.0000,FINANCIERO
2017-01-17,Pampa Energía S.A.,Serie I,USD,750000000,General,0.0750,121.7,11912.0000,ENERGIA
